97, gkp1, 1583, 103, 15.3689
98, gli1, 1970, 117, 16.8376
99, gln, 1821, 120, 15.175
100, gls, 2167, 125, 17.336
101, grk, 2179, 106, 20.5566
102, gua, 1221, 95, 12.8526
103, guc, 1323, 89, 14.8652
104, gun, 1214, 132, 9.19697
105, hak, 2875, 77, 37.3377
106, hat, 2040, 94, 21.7021
107, hat1, 2618, 135, 19.3926
108, hea, 2756, 100, 27.56
109, hil, 2018, 99, 20.3838
110, hms, 2218, 108, 20.537
111, hna, 2344, 95, 24.6737
112, hng, 1572, 125, 12.576
113, hni, 1878, 90, 20.8667
114, huu, 1359, 208, 6.53365
115, hva, 1897, 158, 12.0063
116, hwi, 2493, 97, 25.701
117, ibb, 2641, 108, 24.4537
118, ice, 1655, 168, 9.85119
119, igr, 2113, 100, 21.13
120, ilo, 1915, 102, 18.7745
121, inz, 1672, 93, 17.9785
122, itn, 1957, 96, 20.3854
123, jan, 2081, 108, 19.2685
124, jpn, 282, 34, 8.29412
125, kas, 2203, 118, 18.6695
126, kbp, 1393, 105, 13.2667
127, kdb1, 1706, 91, 18.7473
128, kde, 1072, 111, 9.65766
129, kea, 2474, 72, 34.3611
130, kkn, 1591, 97, 16.4021
131, kng, 1818, 97, 18.7423
132, kon, 2051, 113, 18.1504
133, koo1, 1850, 153, 12.0915
134, kph, 1388, 103, 13.4757
135, kqn, 1065, 92, 11.5761
136, kri, 2295, 102, 22.5
137, lap1, 1315, 119, 11.0504
138, lat, 1463, 121, 12.0909
139, lbm1, 1949, 87, 22.4023
140, lia, 1510, 130, 11.6154
141, lin, 1848, 94, 19.6596
142, lit, 1452, 97, 14.9691
143, lpi, 1425, 119, 11.9748
144, ltn, 1375, 88, 15.625
145, ltn1, 1394, 96, 14.5208
146, lub, 1880, 129, 14.5736
147, lue, 1248, 99, 12.6061
148, lux, 1942, 94, 20.6596
149, mam, 1588, 92, 17.2609
150, mao, 1339, 138, 9.7029
151, maz, 1606, 96, 16.7292
152, mbf, 3237, 101, 32.0495
153, mcd, 968, 216, 4.48148
154, mcf, 2482, 316, 7.85443
155, mex, 1717, 113, 15.1947
156, mfy, 1944, 126, 15.4286
157, mhj, 1707, 107, 15.9533
158, mhm, 2475, 135, 18.3333
159, mic, 1392, 94, 14.8085
160, miq, 1693, 84, 20.1548
161, mkj, 1792, 95, 18.8632
162, mli, 1629, 127, 12.8268
163, mlo, 2097, 93, 22.5484
164, mlo1, 1053, 99, 10.6364
165, mls, 1546, 123, 12.5691
166, mnf, 1412, 100, 14.12
167, mni, 1508, 100, 15.08
168, moz, 1925, 92, 20.9239
169, mpu, 1703, 101, 16.8614
170, mxv, 1399, 99, 14.1313
171, mzm, 2507, 122, 20.5492
172, nba, 2101, 99, 21.2222
173, nel, 1024, 100, 10.24
174, nhn, 2423, 146, 16.5959
175, not, 1161, 177, 6.55932
176, nrn, 1736, 128, 13.5625
177, nrr, 1775, 139, 12.7698
178, nso, 2330, 98, 23.7755
179, nyj, 1618, 93, 17.3978
180, nyj1, 1508, 94, 16.0426
181, nyn1, 1078, 123, 8.76423
182, nyz, 1290, 88, 14.6591
183, nze, 2208, 103, 21.4369
184, ose, 1448, 107, 13.5327
185, pbb, 1537, 132, 11.6439
186, pcm, 3386, 134, 25.2687
187, pdg, 1912, 115, 16.6261
188, pet, 1774, 124, 14.3065
189, pis, 1818, 112, 16.2321
190, plu, 2173, 123, 17.6667
191, pmp, 2183, 113, 19.3186
192, pnf, 2086, 120, 17.3833
193, por, 1878, 92, 20.413
194, ppl, 1918, 97, 19.7732
195, pql, 1671, 96, 17.4062
196, pro, 1537, 140, 10.9786
197, prv1, 1974, 92, 21.4565
198, qan, 1391, 172, 8.08721
199, qar, 1191, 133, 8.95489
200, qec1, 1538, 101, 15.2277
201, qed, 1670, 161, 10.3727
202, qeg, 1776, 160, 11.1
203, qei, 1435, 164, 8.75
204, qej, 1995, 139, 14.3525
205, qju, 1408, 162, 8.69136
206, qnt, 1209, 190, 6.36316
207, qud1, 995, 103, 9.66019
208, quy, 1342, 112, 11.9821
209, quz, 1180, 116, 10.1724
210, rhe, 2001, 123, 16.2683
211, rmn1, 1763, 100, 17.63
212, rmy1, 1573, 91, 17.2857
213, rrt, 2957, 93, 31.7957
214, rua1, 1346, 136, 9.89706
215, rud1, 1371, 124, 11.0565
216, rum, 1853, 93, 19.9247
217, rus, 1661, 94, 17.6702
218, ruw, 1755, 125, 14.04
219, saj, 2289, 107, 21.3925
220, sco, 1894, 96, 19.7292
221, ses, 1628, 96, 16.9583
222, shd, 1478, 130, 11.3692
223, shp, 2578, 221, 11.6652
224, slo, 1537, 122, 12.5984
225, slv, 1572, 124, 12.6774
226, smy, 2889, 87, 33.2069
227, snn, 1635, 145, 11.2759
228, som, 1903, 103, 18.4757
229, spn, 1959, 90, 21.7667
230, src1, 1611, 123, 13.0976
231, src3, 1553, 123, 12.626
232, src4, 1599, 125, 12.792
233, src5, 1495, 129, 11.5891
234, srd, 2134, 94, 22.7021
235, srt, 2376, 110, 21.6
236, sso, 2186, 111, 19.6937
237, sua, 1395, 97, 14.3814
238, sud, 1598, 129, 12.3876
239, suo, 1928, 110, 17.5273
240, swa, 1814, 130, 13.9538
241, swd, 1829, 106, 17.2547
242, swz1, 1813, 94, 19.2872
243, tbz, 1916, 97, 19.7526
244, tej, 2150, 148, 14.527
245, tgl, 2062, 106, 19.4528
246, tht, 2739, 100, 27.39
247, tid, 2088, 97, 21.5258
248, tiv, 2884, 109, 26.4587
249, tob, 2621, 96, 27.3021
250, toi, 1348, 97, 13.8969
251, toj, 2254, 127, 17.748
252, top, 1617, 97, 16.6701
253, trk, 1396, 95, 14.6947
254, tru1, 2119, 133, 15.9323
255, tsh, 2514, 94, 26.7447
256, tso, 2546, 98, 25.9796
257, tsw, 2223, 100, 22.23
258, ttm, 1849, 93, 19.8817
259, tws1, 1922, 111, 17.3153
260, tws3, 1976, 103, 19.1845
261, tzc, 2119, 155, 13.671
262, tzc1, 2062, 194, 10.6289
263, tzm, 1853, 93, 19.9247
264, ukr, 1767, 130, 13.5923
265, ura, 1336, 143, 9.34266
266, uzb, 1581, 95, 16.6421
267, vmw, 1222, 98, 12.4694
268, wee, 1522, 93, 16.3656
269, wls, 1732, 93, 18.6237
270, wol, 1993, 143, 13.9371
271, wry, 1870, 75, 24.9333
272, xos, 1177, 99, 11.8889
273, yad, 1215, 157, 7.73885
274, yao, 1379, 146, 9.44521
275, yor, 2922, 131, 22.3053
276, yps, 1971, 122, 16.1557
277, yua, 2145, 89, 24.1011
278, zam, 1472, 96, 15.3333
279, ztu1, 1349, 105, 12.8476
280, zuu, 1107, 95, 11.6526
