259 tws1 1922 111
260 tws3 1976 103
261 tzc 2119 155
262 tzc1 2062 194
263 tzm 1853 93
264 ukr 1767 130
265 ura 1336 143
266 uzb 1581 95
267 vmw 1222 98
268 wee 1522 93
269 wls 1732 93
270 wol 1993 143
271 wry 1870 75
272 xos 1177 99
273 yad 1215 157
274 yao 1379 146
275 yor 2922 131
276 yps 1971 122
277 yua 2145 89
278 zam 1472 96
279 ztu1 1349 105
280 zuu 1107 95
