202, qeg, 177.6, 160
203, qei, 143.5, 164
204, qej, 199.5, 139
205, qju, 140.8, 162
206, qnt, 120.9, 190
207, qud1, 99.5, 103
208, quy, 134.2, 112
209, quz, 118, 116
210, rhe, 200.1, 123
211, rmn1, 176.3, 100
212, rmy1, 157.3, 91
213, rrt, 295.7, 93
214, rua1, 134.6, 136
215, rud1, 137.1, 124
216, rum, 185.3, 93
217, rus, 166.1, 94
218, ruw, 175.5, 125
219, saj, 228.9, 107
220, sco, 189.4, 96
221, ses, 162.8, 96
222, shd, 147.8, 130
223, shp, 257.8, 221
224, slo, 153.7, 122
225, slv, 157.2, 124
226, smy, 288.9, 87
227, snn, 163.5, 145
228, som, 190.3, 103
229, spn, 195.9, 90
230, src1, 161.1, 123
231, src3, 155.3, 123
232, src4, 159.9, 125
233, src5, 149.5, 129
234, srd, 213.4, 94
235, srt, 237.6, 110
236, sso, 218.6, 111
237, sua, 139.5, 97
238, sud, 159.8, 129
239, suo, 192.8, 110
240, swa, 181.4, 130
241, swd, 182.9, 106
242, swz1, 181.3, 94
243, tbz, 191.6, 97
244, tej, 215, 148
245, tgl, 206.2, 106
246, tht, 273.9, 100
247, tid, 208.8, 97
248, tiv, 288.4, 109
249, tob, 262.1, 96
250, toi, 134.8, 97
251, toj, 225.4, 127
252, top, 161.7, 97
253, trk, 139.6, 95
254, tru1, 211.9, 133
255, tsh, 251.4, 94
256, tso, 254.6, 98
257, tsw, 222.3, 100
258, ttm, 184.9, 93
259, tws1, 192.2, 111
260, tws3, 197.6, 103
261, tzc, 211.9, 155
262, tzc1, 206.2, 194
263, tzm, 185.3, 93
264, ukr, 176.7, 130
265, ura, 133.6, 143
266, uzb, 158.1, 95
267, vmw, 122.2, 98
268, wee, 152.2, 93
269, wls, 173.2, 93
270, wol, 199.3, 143
271, wry, 187, 75
272, xos, 117.7, 99
273, yad, 121.5, 157
274, yao, 137.9, 146
275, yor, 292.2, 131
276, yps, 197.1, 122
277, yua, 214.5, 89
278, zam, 147.2, 96
279, ztu1, 134.9, 105
280, zuu, 110.7, 95
